src/activitypub/index.js: line 304, col 12, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/activitypub/index.js: line 318, col 20, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/activitypub/index.js: line 319, col 20, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/activitypub/index.js: line 367, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/index.js: line 374, col 20, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/activitypub/index.js: line 393, col 32, 'Exponentiation operator' is only available in ES7 (use 'esversion: 7').
src/activitypub/index.js: line 405, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/index.js: line 427, col 12, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/activitypub/index.js: line 433, col 9, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/index.js: line 433, col 56, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/index.js: line 437, col 10, 'Trailing comma in arguments lists' is only available in ES8 (use 'esversion: 8').
src/activitypub/index.js: line 441, col 22, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/index.js: line 452, col 31, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/index.js: line 514, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/index.js: line 580, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').

src/activitypub/instances.js: line 8, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/instances.js: line 12, col 22, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/instances.js: line 14, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').

src/activitypub/mocks.js: line 43, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/mocks.js: line 154, col 12, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/activitypub/mocks.js: line 165, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/mocks.js: line 167, col 51, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/mocks.js: line 269, col 18, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/mocks.js: line 270, col 53, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/mocks.js: line 345, col 14, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/mocks.js: line 352, col 49, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/mocks.js: line 404, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/mocks.js: line 419, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/mocks.js: line 452, col 43, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/mocks.js: line 457, col 22, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/activitypub/mocks.js: line 457, col 32, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/activitypub/mocks.js: line 518, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/mocks.js: line 581, col 22, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/mocks.js: line 648, col 28, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/activitypub/mocks.js: line 801, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/mocks.js: line 886, col 27, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/mocks.js: line 916, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/mocks.js: line 919, col 8, 'object spread property' is only available in ES9 (use 'esversion: 9').

src/activitypub/notes.js: line 21, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 26, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 30, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 48, col 16, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 123, col 64, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 258, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 268, col 50, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 344, col 12, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/activitypub/notes.js: line 357, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 387, col 31, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 390, col 50, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 413, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 418, col 22, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 463, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 503, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 513, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 545, col 22, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 556, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 566, col 28, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 573, col 16, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 588, col 44, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 591, col 15, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 606, col 54, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 613, col 36, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 631, col 36, 'async functions' is only available in ES8 (use 'esversion: 8').
src/activitypub/notes.js: line 632, col 36, 'async functions' is only available in ES8 (use 'esversion: 8').

src/admin/search.js: line 31, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/admin/search.js: line 61, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/admin/search.js: line 77, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/admin/search.js: line 87, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/admin/search.js: line 92, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/admin/search.js: line 127, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').

src/admin/versions.js: line 12, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').

src/analytics.js: line 33, col 18, 'async functions' is only available in ES8 (use 'esversion: 8').
src/analytics.js: line 34, col 36, 'async functions' is only available in ES8 (use 'esversion: 8').
src/analytics.js: line 44, col 38, 'async functions' is only available in ES8 (use 'esversion: 8').
src/analytics.js: line 91, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/analytics.js: line 93, col 22, 'async functions' is only available in ES8 (use 'esversion: 8').
src/analytics.js: line 120, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/analytics.js: line 190, col 34, 'async functions' is only available in ES8 (use 'esversion: 8').
src/analytics.js: line 222, col 33, 'async functions' is only available in ES8 (use 'esversion: 8').
src/analytics.js: line 233, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').
src/analytics.js: line 254, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/analytics.js: line 269, col 34, 'async functions' is only available in ES8 (use 'esversion: 8').
src/analytics.js: line 278, col 31, 'async functions' is only available in ES8 (use 'esversion: 8').
src/analytics.js: line 285, col 35, 'async functions' is only available in ES8 (use 'esversion: 8').

src/api/activitypub.js: line 28, col 12, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/activitypub.js: line 39, col 38, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/activitypub.js: line 77, col 40, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/activitypub.js: line 144, col 43, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/activitypub.js: line 169, col 50, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/activitypub.js: line 189, col 46, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/activitypub.js: line 205, col 47, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/activitypub.js: line 221, col 43, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/activitypub.js: line 253, col 50, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/activitypub.js: line 279, col 43, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/activitypub.js: line 314, col 41, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/activitypub.js: line 340, col 45, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/activitypub.js: line 376, col 41, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/activitypub.js: line 404, col 36, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/activitypub.js: line 452, col 41, 'async functions' is only available in ES8 (use 'esversion: 8').

src/api/admin.js: line 10, col 26, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/admin.js: line 19, col 29, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/admin.js: line 26, col 29, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/admin.js: line 39, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').

src/api/categories.js: line 16, col 27, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 23, col 22, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 24, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 39, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 51, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 59, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 72, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 86, col 31, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 95, col 26, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 97, col 29, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 118, col 27, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 156, col 17, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/api/categories.js: line 159, col 31, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 174, col 35, Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (cids)
src/api/categories.js: line 186, col 31, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 202, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/categories.js: line 246, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').

src/api/chats.js: line 20, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 39, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 53, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 88, col 22, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 93, col 28, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 109, col 16, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 111, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 142, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 184, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 191, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 210, col 18, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 219, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 240, col 18, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 265, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 290, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 311, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 325, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 357, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 367, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 376, col 26, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 395, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 404, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 409, col 26, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 414, col 27, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 419, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/chats.js: line 424, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').

src/api/files.js: line 9, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/files.js: line 11, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').

src/api/flags.js: line 8, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/flags.js: line 28, col 16, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/flags.js: line 37, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/flags.js: line 50, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/flags.js: line 52, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/flags.js: line 62, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/flags.js: line 71, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/flags.js: line 80, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/flags.js: line 106, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').

src/api/groups.js: line 15, col 18, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 25, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 48, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 61, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 77, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 108, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 122, col 18, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 184, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 248, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 259, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 270, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 277, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 293, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 309, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 316, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 327, col 26, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 343, col 26, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 363, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 387, col 12, 'object spread property' is only available in ES9 (use 'esversion: 9').

src/api/helpers.js: line 15, col 57, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/api/helpers.js: line 51, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/helpers.js: line 67, col 32, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/helpers.js: line 76, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/helpers.js: line 91, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/helpers.js: line 131, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').

src/api/posts.js: line 25, col 16, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 48, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 58, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 70, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 88, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 150, col 29, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/api/posts.js: line 150, col 44, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/api/posts.js: line 151, col 29, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/api/posts.js: line 151, col 50, 'object spread property' is only available in ES9 (use 'esversion: 9').
